sales_name,margin_name,match_type,reviewed
Amour Set | 36 szt,Zestaw Amour | 36 szt,,False
Atlantic Wave roll | 8 szt,Atlantic Wave,,False
Black dragon roll | 8 szt,Black dragon roll,,False
California KRAB-MIX | 8 szt,California KRAB,,False
California KREWETKA GOTOWANA | 8 szt,Calif krewetka 16/20,,False
California RAINBOW | 8 szt,California RAINBOW,,False
California TUŃCZYK SUROWY | 8 szt,California TUNA,,False
California z czarnym ryżem ŁOSOŚ SUROWY | 8 szt,C Black Surowy,,False
Cheese philadelphia | 8 szt,Phila CHEESE,,False
Duo set | 28 szt,Duo set | 28 szt,,False
Fanta jagoda 0.33l,,,False
Feliks roll | 8 szt,Feliks łosoś,,False
Fuji roll | 8 szt,Fuji roll,,False
Futomaki AWOKADO | 6 szt,Futo AWOKADO,,False
Futomaki FIRE HARMONY | 6 szt,Futo FIRE HARMONY,,False
Futomaki FRESH ROLL | 6 szt,Futo FRESH ROLL,,False
Futomaki KALMAR PANKO | 6 szt,Futo KALMAR TEMPURA,,False
Futomaki KRAB W TEMPURZE | 6 szt,Futo KRAB TEMPURA,,False
Futomaki KREWETKA EBI | 6 szt / 12 szt,Futo EBI,,False
Futomaki KREWETKA PANKO | 6 szt / 12 szt,Futo KREWETKA TEMPURA,,False
Futomaki TUŃCZYK SUROWY | 6 szt,Futo TUNA,,False
Futomaki TUŃCZYK SUROWY | 6 szt / 12 szt,Futo TUNA,,False
Futomaki WARZYWA W TEMPURZE | 6 szt,Futo WARZYWA TEMPURA,,False
Futomaki ŁOSOŚ GRILLOWANY | 6 szt,Futo GRILL,,False
Futomaki ŁOSOŚ GRILLOWANY | 6 szt / 12 szt,Futo GRILL,,False
Futomaki ŁOSOŚ SUROWY | 6 szt,Futo SUROWY,,False
Futomaki ŁOSOŚ SUROWY | 6 szt / 12 szt,Futo SUROWY,,False
Green dragon roll | 8 szt,Green dragon roll,,False
Grill set | 30 szt,Grill set | 30 szt,,False
Gunkan Ebi | 2 szt,Gunk Ebi,,False
Gunkan ŁOSOŚ SUROWY | 2 szt,Gunk Łosoś,,False
Hosomaki AWOKADO | 8 szt,Hoso awokado,,False
Hosomaki KANPYO | 8 szt,Hoso kanpyo,,False
Hosomaki KREWETKA EBI | 8 szt,Hoso krewetka,,False
Hosomaki KREWETKA PANKO | 8 szt,Hoso krew panko,,False
Hosomaki MANGO | 8 szt,Hoso mango,,False
Hosomaki OGÓREK | 8 szt,Hoso ogórek,,False
Hosomaki ŁOSOŚ GRILLOWANY | 8 szt,Hoso grill,,False
Hosomaki ŁOSOŚ SUROWY | 8 szt,Hoso surowy,,False
Krabs - Burger,Krabs-burger,,False
Krewetki w tempurze | 6 szt,PRZ Krewetki w tempurze,,False
Kurama set | 20 szt,Kurama set | 20 szt,,False
Miso inari tofu | 350 ml,Miso inari tofu,,False
Miso z krewetkami | 350 ml,Miso krewetki,,False
Miso z łososiem | 350 ml,Miso łosoś,,False
Miyagi set | 30 szt,Miyagi set | 30 szt,,False
Nigiri awokado | 2 szt,Nigiri awokado,,False
Nigiri ŁOSOŚ | 2 szt,Nigiri łosoś,,False
Nigiri łosoś grillowany | 2 szt,Nigiri łosoś,,False
Nigiri łosoś | 2 szt,Nigiri łosoś,,False
PROMO 1+1=3 Sushi burgery,Promo Burger 1+1,,False
Pałeczki,,,False
Philadelphia grill | 8 szt,Phila GRILL,,False
Philadelphia mix | 8 szt,Philadelia MIX,,False
Philadelphia tuńczyk | 8 szt,Phila TUNA,,False
Philadelphia łosoś | 8 szt,Phila ŁOSOŚ,,False
Red alert roll | 8 szt,Red allert roll,,False
Rolka w tempurze KREWETKA EBI | 8 szt,RT Ebi,,False
Rolka w tempurze ŁOSOŚ GRILLOWANY | 8 szt,RT Grill,,False
Rolka w tempurze ŁOSOŚ SUROWY | 8 szt,RT Surowy,,False
Samurai roll | 8 szt,,,False
Sałatka wakame,Wakame,,False
Sos sojowy 30ml,,,False
Sos spicy majo 30ml,,,False
Sos teriyaki 30ml,,,False
Sos unagi,,,False
Sos unagi 30ml,,,False
Sos śliwkowy 30ml,,,False
Sushi burger KREWETKA GOTOWANA,Burger czarny ryż KREWETKA GOTOWANA,,False
Sushi burger KREWETKA PANKO,Burger krewetka panko,,False
Sushi burger WEGE,B. Wege,,False
Sushi burger ŁOSOŚ GRILLOWANY,Burger grill łosoś,,False
Sushi burger ŁOSOŚ SUROWY,Burger łosoś surowy,,False
Tiger roll | 8 szt,Tiger roll,,False
Tokyo roll | 8 szt,Tokyo roll,,False
Vibe roll ŁOSOŚ SUROWY | 8 szt,,,False
Wege set | 38 szt,Wege set | 44 szt,,False
Yakuza roll | 8 szt,Yakuza roll,,False
Zapieczona rolka FELIX | 8 szt (NOWOŚĆ),ZR Felix,,False
"Zestaw ""Premium sake"" | 38 szt",Premium sake set | 38 szt,,False
Zestaw Amour | 36 szt,Zestaw Amour | 36 szt,,False
Zestaw Duo | 28 szt,Duo set | 28 szt,,False
Zestaw Grill | 30 szt,Grill set | 30 szt,,False
Zestaw Hosomaki | 56 szt,Hosomaki set | 56 szt,,False
Zestaw Miyagi | 30 szt,Miyagi set | 30 szt,,False
Zestaw Philadelphia + Krabs Burger -50%,Zestaw Philadelphia + Krabs Burger -50%,,False
Zestaw Philadelphia | 24 szt,Philadelphia | 24 szt,,False
Zestaw Sakura | 62 szt,Sakura set | 62 szt,,False
Zestaw Startowy | 16 szt,Zestaw startowy | 16 szt,,False
Zestaw Vibe | 32 szt,Vibe set | 32 szt,,False
