ПОЗИЦИЯ,КАТЕГОРИЯ,СОСТОЯНИЕ,РЕСТ,РАСХОДЫ,VAT ПРОЦ,ОФЕР 25%,НОВАЯ ЦЕНА,ЦЕНА БРУТТО,ЦЕНА ОДБЮР,VAT,ЦЕНА НЕТТО,ПРОФИТ,МАРЖА,FC,ОФЕР_Д,БРУТТО_Д,ПРОВИЗИЯ_Д,VAT 8%_Д,ПОЛУЧАЕМ ОТ НИХ_Д,ЧИСТЯК_Д,ПРОФИТ_Д,МАРЖА_Д,FC_Д
Miso krewetki,ZUPY,Активно,Vibe,5.45,23,26.79,22,27,24.3,5.589,18.711,13.27,70.90%,29.1%,35.39,40.00,16.00,3.20,24.00,20.80,15.35,73.82%,26.18%
Miso łosoś,ZUPY,Активно,Vibe,3.59,8,15.50,,27,24.3,1.944,22.356,18.77,83.95%,16.0%,23.32,30.00,12.00,2.40,18.00,15.60,12.01,77.00%,23.00%
Miso inari tofu,ZUPY,Активно,Vibe,1.51,8,6.52,,25,22.5,1.8,20.7,19.19,92.71%,7.3%,9.81,11.00,4.40,0.88,6.60,5.72,4.21,73.62%,26.38%
Promo set | 10 szt PROMO,ZESTAWY,Активно,Rice,14.93,8,45.94,,0,0,0,0,-14.93,,,97.02,70.00,28.00,5.60,42.00,36.40,21.47,58.99%,41.01%
NESUROWE set | 10 szt PROMO,ZESTAWY,Активно,Rice,15.27,8,46.99,,0,0,0,0,-15.27,,,99.24,70.00,28.00,5.60,42.00,36.40,21.13,58.06%,41.94%
Zestaw Phila | 16 szt,ZESTAWY,Активно,Rice,18.21,8,56.05,65,64.6,64.6,5.168,59.432,41.22,69.36%,30.6%,118.37,89.60,35.84,7.17,53.76,46.59,28.38,60.91%,39.09%
Studencki |  32 szt,ZESTAWY,Активно,Rice,18.90,8,58.18,68,65.6,65.6,5.248,60.352,41.45,68.68%,31.3%,122.87,91.60,36.64,7.33,54.96,47.63,28.73,60.31%,39.69%
Zestaw Hosomaki | 40 szt,ZESTAWY,Активно,Rice,20.57,8,63.32,74,74.6,74.6,5.968,68.632,48.06,70.03%,30.0%,133.71,103.60,41.44,8.29,62.16,53.87,33.30,61.82%,38.18%
Akira | 24 szt,ZESTAWY,Активно,Rice,24.99,8,76.93,90,89.6,89.6,7.168,82.432,57.44,69.68%,30.3%,162.45,124.60,49.84,9.97,74.76,64.79,39.80,61.43%,38.57%
Tokio | 28 szt,ZESTAWY,Активно,Rice,25.50,8,78.49,92,91.6,91.6,7.328,84.272,58.77,69.74%,30.3%,165.76,127.60,51.04,10.21,76.56,66.35,40.85,61.57%,38.43%
Zestaw Yuki | 38 szt,ZESTAWY,Активно,Rice,25.94,8,79.83,,92.6,92.6,7.408,85.192,59.26,69.55%,30.4%,168.59,129.60,51.84,10.37,77.76,67.39,41.46,61.51%,38.49%
Tsunami | 24 szt,ZESTAWY,Активно,Rice,26.08,8,80.27,94,93.6,93.6,7.488,86.112,60.03,69.72%,30.3%,169.50,130.60,52.24,10.45,78.36,67.91,41.83,61.60%,38.40%
Bonsai | 32 szt,ZESTAWY,Активно,Rice,28.99,8,89.23,104,104.6,104.6,8.368,96.232,67.24,69.87%,30.1%,188.44,145.60,58.24,11.65,87.36,75.71,46.72,61.71%,38.29%
Zestaw Yamato | 24 szt PROMO,ZESTAWY,Активно,Rice,30.27,8,93.18,,,,0,0,-30.27,,,196.77,,0.00,0.00,0.00,0.00,-30.27,,
Zestaw trzech smoków | 24 szt,ZESTAWY,Активно,Rice,30.99,8,95.38,111,109.6,109.6,8.768,100.832,69.84,69.27%,30.7%,201.42,152.60,61.04,12.21,91.56,79.35,48.36,60.95%,39.05%
Zestaw msc | 32 szt,ZESTAWY,Активно,Rice,33.15,8,102.04,119,119.6,119.6,9.568,110.032,76.88,69.87%,30.1%,215.49,166.60,66.64,13.33,99.96,86.63,53.48,61.73%,38.27%
Premium zestaw | 32 szt,ZESTAWY,Активно,Rice,40.06,8,123.29,144,144.6,144.6,11.568,133.032,92.98,69.89%,30.1%,260.36,201.60,80.64,16.13,120.96,104.83,64.78,61.79%,38.21%
Grand Philadelphia | 40 szt,ZESTAWY,Активно,Rice,40.61,8,125.00,146,145.6,145.6,11.648,133.952,93.34,69.68%,30.3%,263.97,203.60,81.44,16.29,122.16,105.87,65.26,61.64%,38.36%
Harmonia | 56 szt,ZESTAWY,Активно,Rice,45.23,8,139.23,163,159.6,159.6,12.768,146.832,101.60,69.19%,30.8%,294.02,222.60,89.04,17.81,133.56,115.75,70.52,60.92%,39.08%
Tornado | 80 szt,ZESTAWY,Активно,Rice,73.42,8,225.99,264,259.6,259.6,20.768,238.832,165.41,69.26%,30.7%,477.24,362.60,145.04,29.01,217.56,188.55,115.13,61.06%,38.94%
Zestaw startowy | 16 szt,ZESTAWY,Активно,Vibe,20.13,8,86.98,,81.9,73.71,5.8968,67.8132,47.68,70.31%,29.7%,130.87,,0.00,0.00,0.00,0.00,-20.13,,
Hosomaki set | 56 szt,ZESTAWY,Активно,Vibe,23.48,8,101.44,,100,90,7.2,82.8,59.32,71.64%,28.4%,152.62,130.00,52.00,10.40,78.00,67.60,44.12,65.27%,34.73%
Miyagi set | 30 szt,ZESTAWY,Активно,Vibe,27.61,8,119.28,,130,117,9.36,107.64,80.03,74.35%,25.7%,179.48,140.00,28.00,11.20,112.00,100.80,73.19,72.61%,27.39%
Kurama set | 20 szt,ZESTAWY,Активно,Vibe,27.91,8,120.55,,130,117,9.36,107.64,79.73,74.08%,25.9%,181.39,175.00,70.00,14.00,105.00,91.00,63.09,69.33%,30.67%
Grill set | 30 szt,ZESTAWY,Активно,Vibe,30.29,8,130.84,,135,121.5,9.72,111.78,81.49,72.90%,27.1%,196.87,170.00,68.00,13.60,102.00,88.40,58.11,65.74%,34.26%
Duo set | 28 szt,ZESTAWY,Активно,Vibe,34.60,8,149.45,,160,144,11.52,132.48,97.88,73.89%,26.1%,224.87,180.00,72.00,14.40,108.00,93.60,59.00,63.04%,36.96%
Philadelphia | 24 szt,ZESTAWY,Активно,Vibe,38.04,8,164.33,,170,153,12.24,140.76,102.72,72.98%,27.0%,247.25,210.00,84.00,16.80,126.00,109.20,71.16,65.17%,34.83%
Zestaw Amour | 36 szt,ZESTAWY,Активно,Vibe,42.75,8,184.68,,195,175.5,14.04,161.46,118.71,73.52%,26.5%,277.87,230.00,92.00,18.40,138.00,119.60,76.85,64.26%,35.74%
Yami set | 38 szt (Black Friday),ZESTAWY,Активно,Vibe,45.83,8,198.00,,210,189,15.12,173.88,128.05,73.64%,26.4%,297.92,240.00,96.00,19.20,144.00,124.80,78.97,63.27%,36.73%
Premium sake set | 38 szt,ZESTAWY,Активно,Vibe,49.59,8,214.22,,260,234,18.72,215.28,165.69,76.97%,23.0%,322.33,300.00,120.00,24.00,180.00,156.00,106.41,68.21%,31.79%
Futomaki set | 48 szt,ZESTAWY,Активно,Vibe,50.43,8,217.86,,260,234,18.72,215.28,164.85,76.57%,23.4%,327.79,290.00,116.00,23.20,174.00,150.80,100.37,66.56%,33.44%
Vibe set | 32 szt,ZESTAWY,Активно,Vibe,50.77,8,219.31,,200,180,14.4,165.6,114.83,69.34%,30.7%,329.98,240.00,96.00,19.20,144.00,124.80,74.03,59.32%,40.68%
Hikari set | 48 szt,ZESTAWY,Активно,Vibe,55.05,8,237.82,,245,220.5,17.64,202.86,147.81,72.86%,27.1%,357.82,280.00,112.00,22.40,168.00,145.60,90.55,62.19%,37.81%
Sakura set | 62 szt,ZESTAWY,Активно,Vibe,69.78,8,301.46,,295,265.5,21.24,244.26,174.48,71.43%,28.6%,453.59,400.00,160.00,32.00,240.00,208.00,138.22,66.45%,33.55%
Itsuki set | 24 szt,ZESTAWY,Активно,Vibe,31.29,8,135.15,,120,108,8.64,99.36,68.07,68.51%,31.5%,203.35,,0.00,0.00,0.00,0.00,-31.29,,
Misora set | 32 szt + napój,ZESTAWY,Активно,Vibe,46.88,8,202.51,,170,153,12.24,140.76,93.88,66.70%,33.3%,304.70,,0.00,0.00,0.00,0.00,-46.88,,
California SHIITAKE,WEGE MENU,Активно,Vibe,9.77,8,42.19,,38,34.2,2.736,31.464,21.70,68.96%,31.0%,63.48,63.00,25.20,5.04,37.80,32.76,22.99,70.19%,29.81%
Futo SHIITAKE,WEGE MENU,Активно,Vibe,6.61,8,28.55,,26,23.4,1.872,21.528,14.92,69.30%,30.7%,42.95,42.00,16.80,3.36,25.20,21.84,15.23,69.74%,30.26%
Awokado fresh roll,WEGE MENU,Активно,Vibe,9.53,8,41.17,,38,34.2,2.736,31.464,21.93,69.71%,30.3%,61.94,50.00,20.00,4.00,30.00,26.00,16.47,63.35%,36.65%
Futo AWOKADO,WEGE MENU,Активно,Vibe,5.93,8,25.61,,25,22.5,1.8,20.7,14.77,71.37%,28.6%,38.53,38.00,15.20,3.04,22.80,19.76,13.83,70.00%,30.00%
Futo MANGO,WEGE MENU,Активно,Vibe,5.30,8,22.91,,25,22.5,1.8,20.7,15.40,74.38%,25.6%,34.48,34.00,13.60,2.72,20.40,17.68,12.38,70.00%,30.00%
Futo WARZYWA TEMPURA,WEGE MENU,Активно,Vibe,4.56,8,19.68,,25,22.5,1.8,20.7,16.14,77.99%,22.0%,29.62,32.00,12.80,2.56,19.20,16.64,12.08,72.62%,27.38%
Wege set | 44 szt,WEGE MENU,Активно,Vibe,22.94,8,99.09,,150,135,10.8,124.2,101.26,81.53%,18.5%,149.10,150.00,60.00,12.00,90.00,78.00,55.06,70.59%,29.41%
California Warzywa w tempurze,WEGE MENU,Активно,Vibe,5.31,8,22.94,,35,31.5,2.52,28.98,23.67,81.67%,18.3%,34.52,38.00,15.20,3.04,22.80,19.76,14.45,73.12%,26.88%
Sushi dog Losos,SUSHI DOG,Активно,Rice,7.17,8,22.07,26,27.6,27.6,2.208,25.392,18.22,71.76%,28.2%,46.61,38.60,15.44,3.09,23.16,20.07,12.90,64.27%,35.73%
Sushi dog krab mix,SUSHI DOG,Выключенно,Rice,5.56,8,17.12,,19.6,19.6,1.568,18.032,12.47,69.15%,30.8%,36.16,,0.00,0.00,0.00,0.00,-5.56,,
Sushi dog tuna,SUSHI DOG,Активно,Rice,7.89,8,24.29,28,28.6,28.6,2.288,26.312,18.42,70.01%,30.0%,51.29,39.60,15.84,3.17,23.76,20.59,12.70,61.68%,38.32%
Sushi dog Krewetka,SUSHI DOG,Активно,Rice,10.28,23,36.03,42,39.6,39.6,9.108,30.492,20.21,66.29%,33.7%,66.81,54.60,21.84,4.37,32.76,28.39,18.11,63.80%,36.20%
PROMO 1+1 SOBAKI RICE,SUSHI DOG,Активно,Rice,23.01,8,70.83,,74.6,74.6,5.968,68.632,45.62,66.47%,33.5%,149.58,103.60,41.44,8.29,62.16,53.87,30.86,57.28%,42.72%
Promo 1 + 1 SOBAKI VIBE,SUSHI DOG,Выключенно,Vibe,22.16,8,95.73,,80,72,5.76,66.24,44.08,66.55%,33.5%,144.04,,0.00,0.00,0.00,0.00,-22.16,,
SD MR_KRABS,SUSHI DOG,Выключенно,Vibe,8.84,8,38.21,,40,36,2.88,33.12,24.28,73.29%,26.7%,57.49,,0.00,0.00,0.00,0.00,-8.84,,
Sushi dog SHIITAKE,SUSHI DOG,Выключенно,Vibe,5.48,8,23.66,,30,27,2.16,24.84,19.36,77.95%,22.1%,35.61,,0.00,0.00,0.00,0.00,-5.48,,
SD Grill + wakame,SUSHI DOG,Выключенно,Vibe,6.60,8,28.52,,40,36,2.88,33.12,26.52,80.07%,19.9%,42.91,,0.00,0.00,0.00,0.00,-6.60,,
SD kalmar + tatar,SUSHI DOG,Выключенно,Vibe,6.71,8,29.00,,40,36,2.88,33.12,26.41,79.73%,20.3%,43.64,,0.00,0.00,0.00,0.00,-6.71,,
Promo Burger 1+1,SUSHI BURGER,Активно,Vibe,35.36,8,152.74,,120,108,8.64,99.36,64.00,64.42%,35.6%,229.81,,0.00,0.00,0.00,0.00,-35.36,,
Burger czarny ryż KREWETKA GOTOWANA,SUSHI BURGER,Активно,Vibe,12.37,23,60.87,,60,54,12.42,41.58,29.21,70.24%,29.8%,80.42,86.00,34.40,6.88,51.60,44.72,32.35,72.33%,27.67%
Burger krewetka panko,SUSHI BURGER,Активно,Vibe,13.40,23,65.91,,60,54,12.42,41.58,28.18,67.78%,32.2%,87.08,82.00,32.80,6.56,49.20,42.64,29.24,68.58%,31.42%
Krabs-burger,SUSHI BURGER,Активно,Vibe,12.27,8,52.99,,55,49.5,3.96,45.54,33.27,73.07%,26.9%,79.73,74.00,29.60,5.92,44.40,38.48,26.21,68.12%,31.88%
Burger łosoś surowy,SUSHI BURGER,Активно,Vibe,11.91,8,51.45,,60,54,4.32,49.68,37.77,76.03%,24.0%,77.41,90.00,36.00,7.20,54.00,46.80,34.89,74.55%,25.45%
Burger grill łosoś,SUSHI BURGER,Активно,Vibe,11.18,8,48.30,,60,54,4.32,49.68,38.50,77.50%,22.5%,72.67,85.00,34.00,6.80,51.00,44.20,33.02,74.71%,25.29%
B. Wege,SUSHI BURGER,Активно,Vibe,8.54,8,36.88,,50,45,3.6,41.4,32.86,79.38%,20.6%,55.49,58.00,23.20,4.64,34.80,30.16,21.62,71.69%,28.31%
Czerwony smok,SMOKI,Активно,Rice,7.87,8,24.23,28,28.6,28.6,2.288,26.312,18.44,70.09%,29.9%,51.16,39.60,15.84,3.17,23.76,20.59,12.72,61.78%,38.22%
Zielony smok,SMOKI,Активно,Rice,9.72,8,29.91,35,34.6,34.6,2.768,31.832,22.11,69.47%,30.5%,63.17,47.60,19.04,3.81,28.56,24.75,15.03,60.73%,39.27%
Czarny smok,SMOKI,Активно,Rice,11.57,8,35.60,42,42.6,42.6,3.408,39.192,27.63,70.49%,29.5%,75.19,59.60,23.84,4.77,35.76,30.99,19.43,62.68%,37.32%
Złoty smok,SMOKI,Активно,Rice,12.15,8,37.39,44,43.6,43.6,3.488,40.112,27.97,69.72%,30.3%,78.95,60.60,24.24,4.85,36.36,31.51,19.37,61.45%,38.55%
Roll's krew temp,ROLL'S,Выключенно,Rice,8.08,23,28.34,,25.6,25.6,5.888,19.712,11.63,58.99%,41.0%,52.54,,0.00,0.00,0.00,0.00,-8.08,,
Roll's krab-mix,ROLL'S,Выключенно,Rice,5.01,8,15.43,,14.6,14.6,1.168,13.432,8.42,62.67%,37.3%,32.59,,0.00,0.00,0.00,0.00,-5.01,,
Roll's awokado,ROLL'S,Выключенно,Rice,5.14,8,15.83,,15.6,15.6,1.248,14.352,9.21,64.16%,35.8%,33.43,,0.00,0.00,0.00,0.00,-5.14,,
Roll's tuna,ROLL'S,Выключенно,Rice,6.94,8,21.37,,22.6,22.6,1.808,20.792,13.85,66.61%,33.4%,45.13,,0.00,0.00,0.00,0.00,-6.94,,
Roll's rozochka masago,ROLL'S,Выключенно,Rice,9.23,8,28.42,,31.6,31.6,2.528,29.072,19.84,68.24%,31.8%,60.01,,0.00,0.00,0.00,0.00,-9.23,,
Roll's grill,ROLL'S,Выключенно,Rice,6.50,8,20.02,,22.6,22.6,1.808,20.792,14.29,68.72%,31.3%,42.27,,0.00,0.00,0.00,0.00,-6.50,,
Roll's surowy,ROLL'S,Выключенно,Rice,6.50,8,20.02,,22.6,22.6,1.808,20.792,14.29,68.72%,31.3%,42.27,,0.00,0.00,0.00,0.00,-6.50,,
Roll's syrnaja szapochka,ROLL'S,Выключенно,Rice,8.31,8,25.59,,29.6,29.6,2.368,27.232,18.92,69.47%,30.5%,54.04,,0.00,0.00,0.00,0.00,-8.31,,
Roll's Feniks,ROLL'S,Выключенно,Rice,13.91,8,42.81,,51.6,51.6,4.128,47.472,33.56,70.70%,29.3%,90.41,,0.00,0.00,0.00,0.00,-13.91,,
ZR Krewetki,ROLKI ZAPIECZONE,Выключенно,Vibe,13.31,23,65.49,,60,54,12.42,41.58,28.27,67.99%,32.0%,86.52,,0.00,0.00,0.00,0.00,-13.31,,
ZR Krewetka Ebi & Mango,ROLKI ZAPIECZONE,Активно,Vibe,12.91,23,63.52,,60,54,12.42,41.58,28.67,68.95%,31.0%,83.91,77.00,30.80,6.16,46.20,40.04,27.13,67.76%,32.24%
ZR Krewetka panko,ROLKI ZAPIECZONE,Активно,Vibe,12.26,23,60.31,,60,54,12.42,41.58,29.32,70.52%,29.5%,79.68,76.00,30.40,6.08,45.60,39.52,27.26,68.98%,31.02%
ZR Surowy,ROLKI ZAPIECZONE,Активно,Vibe,12.11,8,52.31,,60,54,4.32,49.68,37.57,75.62%,24.4%,78.71,90.00,36.00,7.20,54.00,46.80,34.69,74.12%,25.88%
ZR Felix,ROLKI ZAPIECZONE,Активно,Vibe,10.83,8,46.77,,60,54,4.32,49.68,38.85,78.21%,21.8%,70.38,82.00,32.80,6.56,49.20,42.64,31.81,74.61%,25.39%
ZR Łosoś pieczony,ROLKI ZAPIECZONE,Активно,Vibe,10.58,8,45.72,,60,54,4.32,49.68,39.10,78.70%,21.3%,68.79,81.00,32.40,6.48,48.60,42.12,31.54,74.88%,25.12%
ZR Krab,ROLKI ZAPIECZONE,Активно,Vibe,7.53,8,32.52,,50,45,3.6,41.4,33.87,81.82%,18.2%,48.93,50.00,20.00,4.00,30.00,26.00,18.47,71.05%,28.95%
Tempura krab-mix,ROLKI W TEMPURZE,Активно,Rice,6.19,8,19.04,22,22.6,22.6,1.808,20.792,14.61,70.25%,29.8%,40.21,31.60,12.64,2.53,18.96,16.43,10.25,62.35%,37.65%
Tempura maki Krewetka,ROLKI W TEMPURZE,Выключенно,Rice,9.22,23,32.30,,29.6,29.6,6.808,22.792,13.58,59.57%,40.4%,59.90,,0.00,0.00,0.00,0.00,-9.22,,
Tempura losos,ROLKI W TEMPURZE,Активно,Rice,9.48,8,29.18,34,34.6,34.6,2.768,31.832,22.35,70.22%,29.8%,61.62,47.60,19.04,3.81,28.56,24.75,15.27,61.70%,38.30%
Tempura tuna,ROLKI W TEMPURZE,Активно,Rice,10.46,8,32.19,38,38.6,38.6,3.088,35.512,25.05,70.55%,29.5%,67.99,53.60,21.44,4.29,32.16,27.87,17.41,62.47%,37.53%
Tempura tatar tunczyk,ROLKI W TEMPURZE,Выключенно,Rice,12.96,8,39.89,,40.6,40.6,3.248,37.352,24.39,65.30%,34.7%,84.24,,0.00,0.00,0.00,0.00,-12.96,,
Tempura maki Wegorz,ROLKI W TEMPURZE,Выключенно,Rice,7.47,8,22.98,,22.6,22.6,1.808,20.792,13.33,64.09%,35.9%,48.53,,0.00,0.00,0.00,0.00,-7.47,,
Tempura maki Losos,ROLKI W TEMPURZE,Выключенно,Rice,6.63,8,20.40,,22.6,22.6,1.808,20.792,14.17,68.13%,31.9%,43.07,,0.00,0.00,0.00,0.00,-6.63,,
RT Ebi,ROLKI W TEMPURZE,Активно,Vibe,13.79,23,67.83,,60,54,12.42,41.58,27.79,66.84%,33.2%,89.62,90.00,36.00,7.20,54.00,46.80,33.01,70.54%,29.46%
Tempura krewetka,ROLKI W TEMPURZE,Активно,Rice,11.01,23,38.59,45,39.6,39.6,9.108,30.492,19.48,63.90%,36.1%,71.55,54.60,21.84,4.37,32.76,28.39,17.38,61.23%,38.77%
RT Hoso GRILL,ROLKI W TEMPURZE,Активно,Vibe,6.00,8,25.90,,27,24.3,1.944,22.356,16.36,73.18%,26.8%,38.97,,0.00,0.00,0.00,0.00,-6.00,,
RT Surowy,ROLKI W TEMPURZE,Активно,Vibe,12.89,8,55.67,,60,54,4.32,49.68,36.79,74.06%,25.9%,83.76,96.00,38.40,7.68,57.60,49.92,37.03,74.19%,25.81%
RT Grill,ROLKI W TEMPURZE,Активно,Vibe,12.31,8,53.19,,60,54,4.32,49.68,37.37,75.21%,24.8%,80.04,92.00,36.80,7.36,55.20,47.84,35.53,74.26%,25.74%
Saga roll,ROLKI AUTORSKIE,Активно,Vibe,16.78,23,82.55,,62,55.8,12.834,42.966,26.19,60.95%,39.1%,109.06,85.00,34.00,6.80,51.00,44.20,27.42,62.04%,37.96%
Calif Krab mix,CALIFORNIA,Активно,Rice,5.22,8,16.05,19,19.6,19.6,1.568,18.032,12.82,71.08%,28.9%,33.90,26.60,10.64,2.13,15.96,13.83,8.62,62.30%,37.70%
Cheese roll,CALIFORNIA,Активно,Rice,5.69,8,17.50,20,20.6,20.6,1.648,18.952,13.27,70.00%,30.0%,36.96,28.60,11.44,2.29,17.16,14.87,9.19,61.77%,38.23%
