date,name,qty,unit_price_gross,vat_rate,unit_cost,unit_vat,unit_price_net,unit_profit_est,margin_rate,food_cost_rate,total_sales_net,total_sales_gross,total_cost_est,total_profit_est
2026-06-01,Futomaki ŁOSOŚ GRILLOWANY | 6 szt,6,38.0,8.0,7.51,2.814814814814815,35.18518518518518,27.675185185185185,0.7865578947368421,0.2134421052631579,211.1111111111111,228.0,45.06,166.05111111111108
2026-06-01,Nigiri łosoś | 2 szt,4,25.0,8.0,5.65,1.8518518518518519,23.14814814814815,17.498148148148147,0.7559199999999999,0.24408000000000002,92.5925925925926,100.0,22.6,69.99259259259259
2026-06-01,PROMO 1+1=3 Sushi burgery,3,120.0,8.0,35.36,8.88888888888889,111.11111111111111,75.75111111111111,0.68176,0.31823999999999997,333.33333333333337,360.0,106.08,227.2533333333334
2026-06-01,Hosomaki ŁOSOŚ SUROWY | 8 szt,3,25.0,8.0,6.01,1.8518518518518519,23.14814814814815,17.138148148148147,0.7403679999999999,0.259632,69.44444444444444,75.0,18.03,51.41444444444444
2026-06-01,Futomaki TUŃCZYK SUROWY | 6 szt,2,45.0,8.0,8.83,3.3333333333333335,41.666666666666664,32.836666666666666,0.78808,0.21192000000000003,83.33333333333333,90.0,17.66,65.67333333333333
2026-06-01,Sushi burger ŁOSOŚ SUROWY,2,65.0,8.0,11.91,4.814814814814815,60.18518518518518,48.27518518518518,0.8021107692307692,0.1978892307692308,120.37037037037037,130.0,23.82,96.55037037037036
2026-06-01,Kurama set | 20 szt,1,175.0,8.0,27.91,12.962962962962964,162.03703703703704,134.12703703703704,0.8277554285714286,0.17224457142857144,162.03703703703704,175.0,27.91,134.12703703703704
2026-06-01,Miso z krewetkami | 350 ml,1,35.0,23.0,5.45,6.544715447154472,28.455284552845526,23.005284552845527,0.8084714285714286,0.19152857142857144,28.455284552845526,35.0,5.45,23.005284552845527
2026-06-01,Sushi burger KREWETKA PANKO,1,60.0,23.0,13.4,11.21951219512195,48.78048780487805,35.38048780487805,0.7253000000000001,0.2747,48.78048780487805,60.0,13.4,35.38048780487805
2026-06-01,Zestaw Startowy | 16 szt,1,81.9,8.0,20.13,6.066666666666667,75.83333333333334,55.70333333333335,0.7345494505494506,0.2654505494505494,75.83333333333334,81.9,20.13,55.70333333333335
2026-06-01,Hosomaki KREWETKA EBI | 8 szt,1,28.0,23.0,6.58,5.235772357723577,22.764227642276424,16.184227642276426,0.7109500000000001,0.28905,22.764227642276424,28.0,6.58,16.184227642276426
2026-06-01,Sushi burger ŁOSOŚ GRILLOWANY,1,60.0,8.0,11.18,4.444444444444445,55.55555555555556,44.37555555555556,0.79876,0.20124,55.55555555555556,60.0,11.18,44.37555555555556
2026-06-01,Futomaki ŁOSOŚ SUROWY | 6 szt / 12 szt,1,36.0,8.0,7.81,2.6666666666666665,33.333333333333336,25.523333333333337,0.7657,0.23429999999999998,33.333333333333336,36.0,7.81,25.523333333333337
2026-06-01,Futomaki TUŃCZYK SUROWY | 6 szt / 12 szt,1,38.0,8.0,8.83,2.814814814814815,35.18518518518518,26.355185185185185,0.749042105263158,0.2509578947368421,35.18518518518518,38.0,8.83,26.355185185185185
