Тип,Название позиции,Продано,Цена,Период,Location
Позиция,Futomaki ŁOSOŚ GRILLOWANY | 6 szt,6,228,01.06.2026-01.06.2026,VIBE SUSHI
Позиция,Nigiri łosoś | 2 szt,4,100,01.06.2026-01.06.2026,VIBE SUSHI
Позиция,PROMO 1+1=3 Sushi burgery,3,360,01.06.2026-01.06.2026,VIBE SUSHI
Позиция,Hosomaki ŁOSOŚ SUROWY | 8 szt,3,75,01.06.2026-01.06.2026,VIBE SUSHI
Позиция,Futomaki TUŃCZYK SUROWY | 6 szt,2,90,01.06.2026-01.06.2026,VIBE SUSHI
Позиция,Sushi burger ŁOSOŚ SUROWY,2,130,01.06.2026-01.06.2026,VIBE SUSHI
Позиция,Kurama set | 20 szt,1,175,01.06.2026-01.06.2026,VIBE SUSHI
Позиция,Miso z krewetkami | 350 ml,1,35,01.06.2026-01.06.2026,VIBE SUSHI
Позиция,Sushi burger KREWETKA PANKO,1,60,01.06.2026-01.06.2026,VIBE SUSHI
Позиция,Zestaw Startowy | 16 szt,1,81.9,01.06.2026-01.06.2026,VIBE SUSHI
Позиция,Hosomaki KREWETKA EBI | 8 szt,1,28,01.06.2026-01.06.2026,VIBE SUSHI
Позиция,Samurai roll | 8 szt,1,86,01.06.2026-01.06.2026,VIBE SUSHI
Позиция,Sushi burger ŁOSOŚ GRILLOWANY,1,60,01.06.2026-01.06.2026,VIBE SUSHI
Позиция,Futomaki ŁOSOŚ SUROWY | 6 szt / 12 szt,1,36,01.06.2026-01.06.2026,VIBE SUSHI
Позиция,Futomaki TUŃCZYK SUROWY | 6 szt / 12 szt,1,38,01.06.2026-01.06.2026,VIBE SUSHI
Позиция,Philadelphia tuńczyk | 8 szt,1,82,01.06.2026-01.06.2026,VIBE SUSHI
Дополнение,6 szt,2,,01.06.2026-01.06.2026,VIBE SUSHI
